"WINNER - 센치해(SENTIMENTAL) M/V", "WINNER - BABY BABY M/V", "WINNER - 좋더라(I’M YOUNG) M/V", "MINO - '몸(BODY)' M/V", "WINNER - 공허해(empty) M/V","WINNER - 컬러링(COLOR RING) M/V","TIMESTAMP"
"13447217","9021691","5000904","8462641","26008089","9635672","2016/10/19 14:12"
"13447217","9021691","5000904","8462641","26008089","9635672","2016-10-19 14:15:03"
"13447217","9021691","5000904","8462641","26008089","9635672","2016-10-19 14:20:03"
"13447563","9021927","5000904","8462641","26008089","9635791","2016-10-19 14:30:02"
